,,,,,,,,
,,,,,,,,
FIPS,Name,2013 Rural-urban Continuum Code*,1970,1980,1990,2000,,2016-2020
34000,New Jersey,,11.8%,18.3%,24.9%,29.8%,,40.7%
34001,"Atlantic, NJ        ",2,6.2%,12.5%,16.4%,18.7%,,28.8%
34003,"Bergen, NJ        ",1,15.6%,23.8%,31.7%,38.2%,,50.7%
34005,"Burlington, NJ        ",1,12.6%,18.4%,23.6%,28.4%,,38.5%
34007,"Camden, NJ        ",1,9.8%,16.2%,21.0%,24.0%,,32.3%
34009,"Cape May, NJ        ",3,7.3%,13.0%,17.2%,22.0%,,33.6%
34011,"Cumberland, NJ        ",3,5.7%,8.7%,10.8%,11.7%,,16.6%
34013,"Essex, NJ        ",1,12.2%,18.0%,24.0%,27.5%,,36.3%
34015,"Gloucester, NJ        ",1,8.0%,13.1%,18.1%,22.0%,,33.8%
34017,"Hudson, NJ        ",1,5.6%,11.2%,19.7%,25.3%,,44.0%
34019,"Hunterdon, NJ        ",1,12.1%,24.1%,34.6%,41.8%,,54.0%
34021,"Mercer, NJ        ",2,14.1%,21.8%,29.5%,34.0%,,43.5%
34023,"Middlesex, NJ        ",1,11.2%,18.1%,26.5%,33.0%,,44.4%
34025,"Monmouth, NJ        ",1,14.3%,21.6%,28.4%,34.6%,,47.3%
34027,"Morris, NJ        ",1,19.9%,28.6%,36.7%,44.1%,,55.3%
34029,"Ocean, NJ        ",1,7.3%,12.4%,15.3%,19.5%,,31.4%
34031,"Passaic, NJ        ",1,8.4%,13.8%,18.7%,21.2%,,29.5%
34033,"Salem, NJ        ",1,5.7%,9.0%,11.8%,15.2%,,21.7%
34035,"Somerset, NJ        ",1,19.0%,26.6%,38.3%,46.5%,,55.6%
34037,"Sussex, NJ        ",1,9.8%,18.9%,24.9%,27.2%,,36.6%
34039,"Union, NJ        ",1,14.0%,19.1%,25.0%,28.5%,,37.1%
34041,"Warren, NJ        ",2,7.2%,12.6%,19.6%,24.4%,,34.5%
,,,,,,,,
,,,,,,,,
"See the Census Bureau web site for a description of FIPS codes.

*The 2013 Rural-urban continuum codes classify metropolitan counties (codes 1 through 3) by size of the Metropolitan Statistical Area (MSA), and nonmetropolitan counties (codes 4 through 9) by degree of urbanization and proximity to metro areas. See the Rural-urban continuum codes for precise definitions of each code.

For 1970 and 1980, the share of adults who are college graduates includes those who completed at four or more years of college regardless of degree earned. In 1990, 2000, and 2016-2020 the share includes those who received a bachelor's or higher degree.

The data for 2016-2020 is a 5-year average from the Census Bureau's American Community Survey.

Data is for adults 25 years of age and older.

Sources: U.S. Census Bureau, 1970, 1980, 1990, 2000 Censuses of Population, and the 2016-2020 American Community Survey.


",,,,,,,,
,,,,,,,,
