,,,,,,,,
,,,,,,,,
FIPS,Name,2013 Rural-urban Continuum Code*,1970,1980,1990,2000,,2016-2020
42000,Pennsylvania,,8.7%,13.6%,17.9%,22.4%,,32.3%
42001,"Adams, PA        ",3,7.9%,11.5%,13.2%,16.7%,,22.6%
42003,"Allegheny, PA        ",1,11.1%,16.5%,22.6%,28.3%,,42.5%
42005,"Armstrong, PA        ",1,4.4%,6.7%,8.1%,10.4%,,18.1%
42007,"Beaver, PA        ",1,6.2%,9.4%,11.9%,15.8%,,25.5%
42009,"Bedford, PA        ",6,4.1%,6.5%,7.8%,10.2%,,15.9%
42011,"Berks, PA        ",2,6.6%,11.4%,15.1%,18.5%,,25.9%
42013,"Blair, PA        ",3,5.2%,8.1%,10.5%,13.9%,,22.3%
42015,"Bradford, PA        ",6,7.0%,8.9%,12.9%,14.8%,,18.7%
42017,"Bucks, PA        ",1,12.1%,18.6%,24.8%,31.2%,,42.2%
42019,"Butler, PA        ",1,7.7%,11.7%,15.6%,23.5%,,37.5%
42021,"Cambria, PA        ",3,5.4%,8.6%,10.8%,13.7%,,22.0%
42023,"Cameron, PA        ",7,5.9%,7.3%,9.8%,12.1%,,10.8%
42025,"Carbon, PA        ",2,3.9%,7.3%,8.4%,11.0%,,17.9%
42027,"Centre, PA        ",3,23.2%,27.5%,32.3%,36.3%,,45.8%
42029,"Chester, PA        ",1,17.1%,26.3%,34.7%,42.5%,,54.2%
42031,"Clarion, PA        ",6,7.2%,11.0%,11.7%,15.3%,,23.0%
42033,"Clearfield, PA        ",4,4.3%,7.6%,8.6%,11.1%,,16.8%
42035,"Clinton, PA        ",4,7.1%,9.3%,11.7%,13.4%,,19.6%
42037,"Columbia, PA        ",3,6.1%,10.2%,12.5%,15.8%,,24.3%
42039,"Crawford, PA        ",4,7.1%,10.5%,11.8%,14.7%,,20.4%
42041,"Cumberland, PA        ",2,12.5%,19.0%,22.9%,27.9%,,37.4%
42043,"Dauphin, PA        ",2,8.0%,14.3%,18.6%,23.5%,,32.3%
42045,"Delaware, PA        ",1,13.9%,18.9%,24.8%,30.0%,,39.5%
42047,"Elk, PA        ",7,5.3%,8.8%,9.5%,12.3%,,19.2%
42049,"Erie, PA        ",2,8.8%,13.2%,16.2%,20.9%,,28.7%
42051,"Fayette, PA        ",1,4.6%,7.2%,9.3%,11.5%,,17.7%
42053,"Forest, PA        ",9,1.9%,5.8%,7.9%,8.9%,,9.6%
42055,"Franklin, PA        ",3,6.9%,10.3%,12.4%,14.8%,,22.2%
42057,"Fulton, PA        ",8,3.4%,7.3%,7.4%,9.3%,,15.0%
42059,"Greene, PA        ",6,5.1%,9.5%,11.3%,12.2%,,17.7%
42061,"Huntingdon, PA        ",6,6.2%,8.6%,9.4%,11.9%,,17.8%
42063,"Indiana, PA        ",4,8.0%,11.2%,14.4%,17.0%,,25.0%
42065,"Jefferson, PA        ",7,4.8%,8.4%,8.9%,11.7%,,16.2%
42067,"Juniata, PA        ",6,3.8%,6.7%,7.3%,8.8%,,15.2%
42069,"Lackawanna, PA        ",2,6.0%,10.7%,14.8%,19.6%,,28.7%
42071,"Lancaster, PA        ",2,8.2%,13.0%,16.7%,20.5%,,28.6%
42073,"Lawrence, PA        ",4,6.2%,10.0%,11.8%,15.1%,,22.3%
42075,"Lebanon, PA        ",3,6.0%,9.4%,11.8%,15.4%,,21.2%
42077,"Lehigh, PA        ",2,8.8%,14.2%,19.6%,23.3%,,30.8%
42079,"Luzerne, PA        ",2,5.5%,9.2%,13.1%,16.4%,,23.6%
42081,"Lycoming, PA        ",3,7.4%,10.3%,12.3%,15.1%,,23.5%
42083,"McKean, PA        ",7,6.6%,9.2%,12.2%,14.0%,,19.0%
42085,"Mercer, PA        ",2,7.8%,11.7%,13.6%,17.3%,,22.7%
42087,"Mifflin, PA        ",4,5.0%,6.8%,8.7%,10.9%,,13.2%
42089,"Monroe, PA        ",3,9.3%,14.0%,17.6%,20.5%,,25.8%
42091,"Montgomery, PA        ",1,17.3%,24.9%,32.1%,38.7%,,49.6%
42093,"Montour, PA        ",3,7.0%,13.8%,18.7%,22.1%,,33.0%
42095,"Northampton, PA        ",2,7.8%,12.3%,16.7%,21.2%,,31.8%
42097,"Northumberland, PA        ",4,4.4%,6.7%,8.6%,11.1%,,17.9%
42099,"Perry, PA        ",2,4.0%,7.2%,8.9%,11.3%,,18.5%
42101,"Philadelphia, PA        ",1,6.8%,11.1%,15.2%,17.9%,,31.2%
42103,"Pike, PA        ",1,8.5%,11.7%,14.7%,19.0%,,27.1%
42105,"Potter, PA        ",9,5.4%,8.4%,9.8%,12.3%,,15.3%
42107,"Schuylkill, PA        ",4,3.5%,6.1%,8.1%,10.7%,,17.0%
42109,"Snyder, PA        ",7,6.4%,9.7%,10.6%,12.5%,,21.1%
42111,"Somerset, PA        ",4,4.3%,7.4%,8.9%,10.8%,,16.7%
42113,"Sullivan, PA        ",8,3.8%,8.0%,8.6%,12.8%,,18.0%
42115,"Susquehanna, PA        ",6,5.2%,8.7%,11.1%,13.2%,,19.2%
42117,"Tioga, PA        ",6,7.3%,10.3%,12.6%,14.2%,,19.7%
42119,"Union, PA        ",4,9.7%,14.3%,17.5%,18.0%,,25.4%
42121,"Venango, PA        ",4,5.5%,9.2%,10.8%,13.1%,,19.3%
42123,"Warren, PA        ",6,6.9%,9.1%,10.7%,14.2%,,19.4%
42125,"Washington, PA        ",1,6.3%,10.7%,13.6%,18.8%,,30.6%
42127,"Wayne, PA        ",6,4.9%,8.8%,13.1%,14.6%,,20.7%
42129,"Westmoreland, PA        ",1,7.0%,12.4%,15.4%,20.2%,,30.3%
42131,"Wyoming, PA        ",2,6.9%,10.7%,13.2%,15.4%,,20.7%
42133,"York, PA        ",2,6.9%,11.3%,13.9%,18.4%,,25.2%
,,,,,,,,
,,,,,,,,
"See the Census Bureau web site for a description of FIPS codes.

*The 2013 Rural-urban continuum codes classify metropolitan counties (codes 1 through 3) by size of the Metropolitan Statistical Area (MSA), and nonmetropolitan counties (codes 4 through 9) by degree of urbanization and proximity to metro areas. See the Rural-urban continuum codes for precise definitions of each code.

For 1970 and 1980, the share of adults who are college graduates includes those who completed at four or more years of college regardless of degree earned. In 1990, 2000, and 2016-2020 the share includes those who received a bachelor's or higher degree.

The data for 2016-2020 is a 5-year average from the Census Bureau's American Community Survey.

Data is for adults 25 years of age and older.

Sources: U.S. Census Bureau, 1970, 1980, 1990, 2000 Censuses of Population, and the 2016-2020 American Community Survey.


",,,,,,,,
