Date,State,Total Cases,Confirmed New C19 Case,Total Death,Confirmed New C19 Death
2021-07-11,NY,"1,159,695",254,"19,947",0
2021-11-14,TX,"4,266,698",553,"71,624",38
2021-11-06,TX,"4,243,143","2,469","70,705",132
2021-02-26,TX,"2,629,116","7,961","46,188",155
2021-11-13,TX,"4,266,084","3,849","71,586",84
2021-12-09,NY,"1,636,493","8,238","22,567",43
2021-07-10,NY,"1,159,441",255,"19,947",0
2021-11-11,TX,"4,259,194","3,767","71,186",324
2021-09-06,NY,"1,261,814","2,459","20,410",18
2021-08-11,NY,"1,191,255","2,191","20,039",11
2021-05-06,NY,"1,128,398","1,543","19,508",9
2021-05-19,NY,"1,143,571",959,"19,666",12
2021-04-06,TX,"2,800,254","5,771","48,981",48
2021-07-31,TX,"3,125,699","12,732","52,085",44
2020-10-10,TX,"790,060","4,230","17,548",70
2021-08-10,TX,"3,245,115","17,401","52,555",84
2021-07-06,NY,"1,158,474",128,"19,939",3
2021-09-20,NY,"1,306,963","2,163","20,716",21
2021-10-14,TX,"4,149,312","5,852","67,202",190
2021-03-26,NY,"1,006,478","4,114","18,665",12
2020-10-23,NY,"234,624","1,066","9,185",8
2021-12-08,NY,"1,628,255","7,243","22,524",33
2021-10-21,TX,"4,182,835","4,310","68,573",260
2021-02-11,TX,"2,529,343","11,890","43,708",174
2021-04-28,TX,"2,876,140","4,269","49,874",42
2021-01-22,TX,"2,211,289","22,646","38,525",295
2021-03-13,NY,"961,370","3,147","18,392",36
2021-07-11,TX,"3,007,025",600,"51,519",0
2021-06-23,NY,"1,156,486",132,"19,916",6
2021-02-22,TX,"2,594,466","6,365","45,631",169
2021-07-08,TX,"3,001,708","4,043","51,517",0
2021-04-30,TX,"2,883,227","3,515","49,945",32
2020-12-24,TX,"1,653,522","17,064","29,496",236
2021-04-14,TX,"2,830,142","3,336","49,321",46
2021-02-07,TX,"2,483,187","6,404","42,882",206
2021-11-20,TX,"4,289,373","2,670","72,169",87
2021-10-06,NY,"1,360,301","4,271","21,098",23
2021-01-26,NY,"778,552","5,983","15,729",111
2021-01-23,NY,"759,301","7,926","15,396",96
2021-02-22,NY,"897,388","2,788","17,755",44
2021-07-16,TX,"3,023,502","4,239","51,610",25
2021-01-31,NY,"811,279","5,775","16,220",89
2021-05-13,NY,"1,137,617","1,361","19,600",9
2021-03-06,TX,"2,683,865","5,570","47,057",97
2021-05-31,NY,"1,151,220",287,"19,780",10
2021-11-15,TX,"4,268,082","1,375","71,633",9
2020-11-15,NY,"278,144","2,192","9,497",25
2021-05-03,NY,"1,124,156","1,284","19,454",23
2021-07-27,TX,"3,075,316","8,500","51,890",37
2021-02-15,NY,"874,571","2,910","17,396",50
2021-04-27,NY,"1,112,609","1,513","19,355",12
2021-03-30,TX,"2,778,808","3,139","48,677",28
2021-03-12,NY,"958,223","4,218","18,356",21
2021-07-26,NY,"1,167,263",553,"19,975",2
2021-03-26,TX,"2,765,446","5,580","48,505",52
2021-06-22,TX,"2,977,580","1,793","51,349",16
2021-05-11,TX,"2,909,829","3,966","50,328",36
2021-04-20,TX,"2,848,820","6,057","49,561",40
2021-03-22,TX,"2,747,693","2,532","48,293",61
2021-03-17,NY,"973,707","3,587","18,477",22
2021-12-11,TX,"4,369,418","4,704","73,364",27
2021-08-24,NY,"1,222,592","1,766","20,185",8
2021-12-06,TX,"4,346,792","3,874","72,989",3
2021-08-22,TX,"3,445,183","11,832","53,994",66
2021-01-12,TX,"1,995,292","26,052","35,174",360
2020-11-14,TX,"1,100,479","11,509","21,450",135
2021-05-27,TX,"2,940,203","1,289","50,837",29
2020-11-27,NY,"323,295","5,618","9,869",31
2020-10-30,TX,"893,451","6,631","19,360",124
2020-12-16,NY,"438,797","6,467","11,085",81
2021-10-08,NY,"1,368,316","4,337","21,151",33
2020-11-18,TX,"1,140,860","10,987","22,119",159
2021-10-28,TX,"4,211,838","4,146","69,668",183
2021-03-08,NY,"944,830","2,562","18,249",21
2020-12-11,TX,"1,448,002","14,451","26,539",229
2021-02-18,NY,"883,994","3,356","17,555",55
2021-10-06,TX,"4,095,261","12,566","65,433",371
2021-01-21,TX,"2,188,643","22,360","38,230",354
2021-10-23,TX,"4,192,541","3,771","69,001",209
2020-10-15,TX,"809,808","4,726","17,898",82
2020-12-15,NY,"432,330","6,207","11,004",103
2021-01-07,NY,"614,792","11,249","13,425",144
2021-03-31,TX,"2,783,305","4,497","48,724",47
2021-09-09,NY,"1,269,961","3,430","20,471",15
2021-08-20,TX,"3,411,118","15,343","53,738",174
2021-07-24,TX,"3,062,715","6,482","51,830",28
2021-12-01,TX,"4,319,782","3,620","72,707",100
2020-10-08,NY,"221,408","1,140","9,092",8
2021-09-11,NY,"1,277,616","3,591","20,518",20
2021-07-28,NY,"1,168,983",945,"19,981",5
2021-03-01,TX,"2,647,845","3,821","46,538",136
2021-03-20,TX,"2,743,179","3,794","48,175",74
2020-12-09,TX,"1,418,252","13,606","26,080",230
2020-10-29,TX,"886,820","6,826","19,236",135
2021-02-21,NY,"894,600","3,226","17,711",37
2020-12-01,NY,"340,717","4,716","10,061",59
2021-11-08,TX,"4,245,949","1,551","70,766",8
2020-10-25,NY,"236,909",979,"9,203",6
2020-10-31,NY,"244,271","1,350","9,263",4
2021-09-24,TX,"3,984,407","13,498","62,469",436
2021-07-03,NY,"1,158,044",151,"19,933",0
2020-10-27,NY,"238,936","1,260","9,226",11
2021-04-25,NY,"1,109,400","2,162","19,320",22
2021-01-24,NY,"766,261","6,960","15,501",105
2021-04-10,TX,"2,816,097","3,198","49,145",41
2021-07-14,TX,"3,014,340","3,020","51,549",30
2021-01-08,TX,"1,915,261","23,520","33,807",340
2020-11-24,NY,"308,726","3,153","9,747",43
2021-12-03,TX,"4,329,541","4,690","72,882",74
2021-02-03,TX,"2,433,110","17,620","41,934",268
2020-12-04,NY,"360,714","7,674","10,217",45
2021-03-11,TX,"2,704,344","4,755","47,509",93
2021-03-17,TX,"2,731,270","5,076","47,967",81
2021-11-21,NY,"1,526,969","5,492","21,967",24
2021-01-07,TX,"1,891,741","24,578","33,467",343
2021-12-19,TX,"4,413,046","7,425","73,859",25
2021-05-14,NY,"1,138,883","1,266","19,612",12
2021-10-01,TX,"4,057,845","10,219","64,304",328
2021-06-29,TX,"2,986,847","2,324","51,449",12
2021-11-12,NY,"1,481,688","5,009","21,760",25
2021-06-08,NY,"1,153,736",221,"19,844",9
2021-06-26,TX,"2,984,022","1,845","51,409",14
2021-01-13,NY,"674,674","8,755","14,180",130
2020-11-13,TX,"1,088,970","13,316","21,315",166
2021-11-19,TX,"4,286,622","4,370","72,082",100
2021-04-14,NY,"1,078,165","3,298","19,098",24
2021-06-16,TX,"2,970,470","1,433","51,250",19
2021-09-24,NY,"1,321,300","4,463","20,818",19
2021-09-08,NY,"1,266,531","2,455","20,456",20
2021-12-31,TX,"4,576,799","15,762","74,491",0
2020-11-06,TX,"1,017,677","9,239","20,283",146
2021-01-01,NY,"559,358","11,204","12,701",135
2021-08-01,TX,"3,128,102","2,359","52,106",21
