Date,State,Total Cases,Confirmed New C19 Case,Total Death,Confirmed New C19 Death
2020-03-01,NY,0,0,0,0
2020-03-02,NY,0,0,0,0
2020-03-03,NY,0,0,0,0
2020-03-04,NY,1,1,0,0
2020-03-05,NY,12,11,0,0
2020-03-06,NY,21,9,0,0
2020-03-07,NY,28,7,0,0
2020-03-08,NY,28,0,0,0
2020-03-09,NY,125,97,0,0
2020-03-10,NY,137,12,0,0
2020-03-11,NY,164,27,0,0
2020-03-12,NY,230,66,0,0
2020-03-13,NY,267,37,0,0
2020-03-14,NY,311,44,0,0
2020-03-15,NY,400,89,1,1
2020-03-16,NY,487,87,1,0
2020-03-17,NY,730,243,1,0
2020-03-18,NY,"1,043",313,1,0
2020-03-19,NY,"1,683",640,5,4
2020-03-20,NY,"2,694","1,011",15,10
2020-03-21,NY,"4,145","1,451",21,6
2020-03-22,NY,"6,123","1,978",24,3
2020-03-23,NY,"8,570","2,447",31,7
2020-03-24,NY,"10,761","2,191",39,8
2020-03-25,NY,"12,955","2,194",52,13
2020-03-26,NY,"15,865","2,910",59,7
2020-03-27,NY,"19,237","3,372",96,37
2020-03-28,NY,"22,552","3,315",107,11
2020-03-29,NY,"25,745","3,193",119,12
2020-03-30,NY,"29,044","3,299",155,36
2020-03-31,NY,"32,656","3,612",211,56
2020-04-01,NY,"36,273","3,617",275,64
2020-04-02,NY,"40,572","4,299",395,120
2020-04-03,NY,"45,704","5,132",508,113
2020-04-04,NY,"50,398","4,694",566,58
2020-04-05,NY,"54,480","4,082","1,017",451
2020-04-06,NY,"58,188","3,708","1,197",180
2020-04-07,NY,"61,897","3,709","1,378",181
2020-04-08,NY,"67,513","5,616","1,545",167
2020-04-09,NY,"72,910","5,397","1,787",242
2020-04-10,NY,"78,128","5,218","2,024",237
2020-04-11,NY,"82,150","4,022","2,260",236
2020-04-12,NY,"85,486","3,336","2,443",183
2020-04-13,NY,"88,268","2,782","2,661",218
2020-04-14,NY,"91,743","3,475","2,882",221
2020-04-15,NY,"95,477","3,734","3,081",199
2020-04-16,NY,"99,138","3,661","3,247",166
2020-04-17,NY,"102,290","3,152","3,560",313
2020-04-18,NY,"105,548","3,258","3,562",2
2020-04-19,NY,"108,350","2,802","3,787",225
2020-04-20,NY,"110,706","2,356","3,940",153
2020-04-21,NY,"112,365","1,659","4,107",167
2020-04-22,NY,"114,784","2,419","4,260",153
2020-04-23,NY,"117,605","2,821","4,407",147
2020-04-24,NY,"121,117","3,512","4,552",145
2020-04-25,NY,"127,030","5,913","4,715",163
2020-04-26,NY,"129,787","2,757","4,831",116
2020-04-27,NY,"131,507","1,720","4,947",116
2020-04-28,NY,"132,768","1,261","5,060",113
2020-04-29,NY,"134,850","2,082","5,170",110
2020-04-30,NY,"136,894","2,044","5,345",175
2020-05-01,NY,"138,624","1,730","5,442",97
2020-05-02,NY,"140,623","1,999","5,544",102
2020-05-03,NY,"142,084","1,461","5,651",107
2020-05-04,NY,"143,302","1,218","5,808",157
2020-05-05,NY,"144,318","1,016","5,907",99
2020-05-06,NY,"145,627","1,309","6,482",575
2020-05-07,NY,"147,253","1,626","6,580",98
2020-05-08,NY,"148,624","1,371","6,657",77
2020-05-09,NY,"149,833","1,209","6,766",109
2020-05-10,NY,"150,978","1,145","6,867",101
2020-05-11,NY,"151,698",720,"6,947",80
2020-05-12,NY,"152,362",664,"7,045",98
2020-05-13,NY,"153,411","1,049","7,132",87
2020-05-14,NY,"154,506","1,095","7,211",79
2020-05-15,NY,"155,456",950,"7,279",68
2020-05-16,NY,"156,632","1,176","7,377",98
2020-05-17,NY,"157,528",896,"7,448",71
2020-05-18,NY,"158,141",613,"7,496",48
2020-05-19,NY,"159,024",883,"7,550",54
2020-05-20,NY,"159,820",796,"7,606",56
2020-05-21,NY,"160,783",963,"7,660",54
2020-05-22,NY,"161,670",887,"7,716",56
2020-05-23,NY,"162,660",990,"7,762",46
2020-05-24,NY,"163,392",732,"7,830",68
2020-05-25,NY,"164,033",641,"7,879",49
2020-05-26,NY,"164,535",502,"7,927",48
2020-05-27,NY,"164,997",462,"7,977",50
2020-05-28,NY,"165,682",685,"8,023",46
2020-05-29,NY,"166,285",603,"8,058",35
2020-05-30,NY,"166,909",624,"8,100",42
2020-05-31,NY,"167,467",558,"8,130",30
2020-06-01,NY,"167,947",480,"8,159",29
2020-06-02,NY,"168,663",716,"8,198",39
2020-06-03,NY,"169,213",550,"8,230",32
2020-06-04,NY,"169,727",514,"8,259",29
2020-06-05,NY,"170,268",541,"8,284",25
2020-06-06,NY,"170,805",537,"8,308",24
2020-06-07,NY,"171,128",323,"8,339",31
2020-06-08,NY,"171,446",318,"8,362",23
2020-06-09,NY,"171,789",343,"8,391",29
2020-06-10,NY,"172,038",249,"8,416",25
2020-06-11,NY,"172,375",337,"8,438",22
2020-06-12,NY,"172,760",385,"8,468",30
2020-06-13,NY,"173,137",377,"8,489",21
2020-06-14,NY,"173,446",309,"8,502",13
2020-06-15,NY,"173,685",239,"8,521",19
