submission_date,state,tot_cases,new_case,tot_death,new_death
2021-03-11,KS,"297,229",0,"4,851",0
2021-12-01,ND,"163,565",589,"1,907",9
2022-01-02,AS,11,0,0,0
2021-11-22,AL,"841,461",703,"16,377",7
2022-05-30,AK,"251,425",0,"1,252",0
2020-05-17,RMI,0,0,0,0
2020-04-03,ND,173,14,3,0
2021-09-04,PR,"173,967",667,"2,911",8
2021-05-09,PW,0,0,0,0
2022-08-15,NM,"602,931","1,509","8,318",6
2022-01-01,UT,"636,992",0,"3,787",0
2021-05-01,SD,"122,688",28,"1,967",0
2021-04-03,OH,"1,024,011","2,293","18,646",0
2022-10-16,NYC,"2,908,749","5,934","42,158",8
2022-03-17,GU,"46,695",45,341,0
2020-07-08,OK,"25,217","1,040",471,4
2020-07-31,ND,"6,602",133,103,0
2020-08-11,GU,449,15,5,0
2022-02-25,SD,"235,787",133,"2,802",14
2021-07-26,OK,"475,578","1,028","7,488",8
2022-05-20,NY,"2,890,549","6,217","27,790",17
2022-04-03,OK,"1,034,439",0,"14,010",0
2021-09-23,NYC,"1,075,197","1,755","34,153",20
2020-03-06,MP,0,0,0,0
2022-07-26,AS,"7,471",0,33,0
2021-09-05,AL,"720,454","2,485","13,755",73
2020-07-20,GA,"147,804","2,766","3,176",3
2022-04-09,SD,"237,246",0,"2,893",0
2022-06-06,NYC,"2,522,039","2,873","40,485",22
2022-03-19,PA,"2,774,453",691,"44,011",0
2022-03-14,AS,555,112,0,0
2020-03-19,GA,493,115,13,7
2022-06-14,GU,"50,364",244,370,1
2022-10-05,TX,"7,880,387","3,563","89,268",34
2022-08-30,AS,"8,168",0,34,0
2020-03-23,NY,"8,570","2,447",31,7
2020-03-06,TX,5,5,0,0
2020-11-27,PA,"351,989","7,389","10,234",21
2020-09-26,MS,"99,284",317,"3,210",3
2020-05-10,NYC,"189,320","1,101","20,527",152
2020-03-15,NYC,"1,301",619,3,0
2021-01-13,WA,"279,470","2,431","3,838",49
2021-06-17,HI,"35,862",31,504,0
2021-03-31,ND,"103,299",208,"1,466",0
2021-08-09,SD,"126,207",123,"2,050",0
2020-12-22,WA,"227,277","2,044","3,131",25
2021-07-30,TN,"892,227","2,307","12,732",2
2021-06-28,UT,"414,204",254,"2,365",2
2020-02-24,ND,0,0,0,0
2021-09-08,KS,"382,850","1,147","5,693",15
2020-06-13,TX,"86,011","2,331","2,287",39
2022-09-10,SD,"258,510",0,"3,002",0
2020-06-12,NM,"9,526",159,414,6
2020-09-24,NYC,"244,423",461,"23,505",4
2022-06-01,GA,"2,571,104","15,060","38,242",44
2021-09-05,SD,"134,615",307,"2,074",0
2021-06-19,RMI,4,0,0,0
2021-12-30,HI,"106,350","3,425","1,074",0
2020-02-28,WA,1,0,0,0
2021-03-07,UT,"374,850",412,"1,976",1
2020-03-12,OK,174,20,0,0
2022-02-28,MP,"9,724",174,30,0
2020-02-05,KS,0,0,0,0
2021-07-11,NY,"1,159,695",254,"19,947",0
2022-02-06,KS,"744,493",0,"7,716",0
2020-02-28,GA,0,0,0,0
2021-03-18,AS,4,0,0,0
2022-10-14,TX,"7,897,831","3,972","89,409",34
2022-10-07,PW,"5,481",21,6,0
2020-02-23,OH,0,0,0,0
2021-08-07,UT,"439,151",672,"2,497",3
2021-07-20,AL,"560,909","1,550","11,649",6
2022-09-20,SD,"259,683",0,"3,014",0
2022-05-17,IN,"1,716,327",0,"23,640",0
2020-10-21,NM,"38,715",819,897,8
2021-09-24,GA,"1,557,536","4,300","25,478",140
2020-06-19,OK,"13,192",535,409,2
2020-05-14,SD,"3,792",60,43,4
2022-08-22,FL,"6,977,800","6,870","79,959",43
2022-08-20,AL,"1,469,948","1,166","20,263",6
2020-01-23,PR,0,0,0,0
2020-07-17,OH,"72,280","1,679","3,112",9
2022-02-27,IN,"1,680,331",0,"22,800",0
2022-01-08,ND,"181,576",930,"2,029",1
2021-06-28,NYC,"955,439",160,"33,416",2
2020-09-03,AK,"5,476",86,53,0
2021-06-18,SD,"124,397",4,"2,027",0
2022-05-24,KS,"782,802",0,"8,802",0
2022-02-14,MS,"781,436","4,719","11,652",94
2021-01-06,PR,"83,437","1,733","1,577",3
2021-04-12,UT,"390,289",185,"2,159",0
2022-10-12,PR,"964,435",619,"5,193",4
2020-08-23,NY,"197,617",293,"8,930",6
2021-04-10,FL,"2,085,229","5,520","34,620",50
2020-06-05,WA,"23,009",352,"1,149",11
2022-01-11,PW,31,3,0,0
2020-11-12,HI,"16,171",94,221,0
2020-05-05,WV,"1,242",18,50,0
2021-10-08,UT,"520,190","1,637","2,994",11
2021-11-14,TX,"4,266,698",553,"71,624",38
2020-10-26,IN,"164,581","1,974","4,130",12
2020-08-12,GA,"232,148","3,767","4,456",105
2020-10-17,FL,"739,613","2,476","17,211",74
2021-12-20,SD,"174,021",366,"2,438",5
2020-04-27,TX,"25,297",666,906,25
2021-05-05,NYC,"935,044","1,196","32,758",25
2020-03-02,IN,0,0,0,0
2020-11-03,ND,"48,301","1,114",568,12
2021-05-09,UT,"400,352",232,"2,224",1
2022-06-21,OK,"1,063,786",0,"14,472",0
2020-04-08,NY,"67,513","5,616","1,545",167
2020-12-08,GA,"512,267","5,577","9,873",22
2021-08-18,FL,"3,014,988","24,405","45,209",369
2022-05-16,AL,"1,305,440",490,"19,694",2
2020-04-23,AS,0,0,0,0
2021-04-23,WV,"150,693",405,"2,813",5
2020-04-26,WV,"1,053",28,34,1
2021-10-08,ND,"137,678",552,"1,642",7
2020-05-10,OK,"5,355",55,296,3
2022-04-14,NYC,"2,337,874","2,866","40,134",5
2022-04-17,IA,"760,781",0,"9,475",0
2020-07-15,IA,"36,294",444,767,10
2020-06-11,SD,"5,665",61,73,4
2022-01-21,TN,"1,732,215","21,543","22,033",140
2022-07-30,MA,"1,966,919",0,"21,176",0
2020-02-04,WA,1,0,0,0
2022-07-23,GU,"54,163",0,377,0
2021-07-21,WA,"462,984",830,"6,063",7
2020-07-26,OH,"84,073",889,"3,307",10
2020-11-10,OH,"261,482","6,508","5,547",23
2021-12-05,AK,"146,558",0,853,0
2020-03-04,NY,1,1,0,0
2021-07-24,MP,188,0,2,0
2021-03-10,FL,"1,924,074","5,046","32,923",63
2022-06-14,PW,"5,165",20,6,0
2020-09-04,OH,"128,444","1,332","4,248",22
2020-11-10,HI,"15,961",69,221,1
2022-05-04,MS,"798,283",218,"12,450",0
2022-04-10,CO,"1,422,717",294,"11,984",0
2021-08-18,GU,"9,200",82,144,0
2022-10-03,PA,"3,254,503",0,"47,213",0
2020-11-01,MA,"159,707","1,131","10,048",20
2020-02-21,GA,0,0,0,0
2022-08-13,PA,"3,134,837",0,"46,422",0
2021-07-25,WA,"467,961","1,014","6,084",3
2020-06-01,TX,"64,880",593,"1,939",20
2022-09-01,PA,"3,185,902",0,"46,716",0
2021-05-21,NM,"201,868",173,"4,021",5
2022-07-14,IA,"805,836",0,"9,718",0
2020-05-25,MA,"93,271",596,"6,879",67
2021-07-01,MP,183,0,2,0
2022-07-13,UT,"989,767",0,"4,847",0
2022-04-19,ND,"240,529",95,"2,257",0
2020-03-23,AK,38,13,1,0
2021-09-28,CO,"671,474","1,849","7,522",19
2022-02-06,RMI,7,0,0,0
2020-08-20,NYC,"233,856",310,"23,353",1
2020-03-07,TX,5,0,0,0
2021-08-14,TN,"945,323","5,533","12,963",22
2020-04-10,CO,"6,648",370,250,24
2021-10-20,MP,289,0,3,0
2020-08-23,PA,"134,617",614,"7,578",2
2020-03-10,MA,91,63,0,0
2020-06-05,MP,26,2,2,0
2021-07-23,HI,"38,499",215,524,0
2021-01-17,TN,"676,555","6,908","8,355",44
2022-09-05,KS,"864,361",0,"9,019",0
2021-05-18,KS,"312,332",259,"5,040",0
2021-03-14,WA,"349,114",670,"5,123",0
2022-03-22,NM,"516,628",116,"7,171",14
2020-04-08,AL,"2,605",306,118,10
2021-04-19,CO,"499,574",913,"6,201",2
2022-05-15,RMI,17,0,0,0
2020-08-19,OH,"110,881",958,"3,907",36
2021-11-06,TX,"4,243,143","2,469","70,705",132
2022-01-06,KS,"549,721",0,"7,059",0
2022-09-19,NM,"616,125",527,"8,521",6
2020-03-04,WA,30,16,10,1
2020-11-05,KS,"92,215",0,"1,087",0
2022-04-15,IN,"1,693,565",0,"23,509",0
2021-03-06,IN,"667,519","1,244","12,693",29
2020-11-15,IA,"185,156","3,824","1,985",12
2021-02-26,TX,"2,629,116","7,961","46,188",155
2022-02-20,MA,"1,661,206",0,"23,109",0
2022-05-19,GA,"2,541,713",0,"38,157",0
2020-04-06,MP,8,0,1,0
2021-03-22,MP,157,0,2,0
2021-10-30,MS,"504,318",0,"10,075",0
2021-12-30,UT,"636,992","3,563","3,787",6
2022-04-19,AS,"5,663",0,21,0
2020-12-09,IA,"249,276","2,465","3,021",102
2022-08-25,FL,"6,998,469","6,789","80,140",66
2021-07-17,GU,"8,477",0,142,0
2021-10-20,CO,"718,284","2,308","7,971",22
2020-09-21,WA,"83,806",320,"2,055",18
2022-07-25,NY,"3,071,162","2,264","28,443",13
